year,TSB_million_t_updated,SSB_million_t_updated,catch_total_thousand_t,ODU_total_thousand_t,ODU_61.05.1_thousand_t,ODU_61.05.2_thousand_t,ODU_61.05.4_thousand_t,Recruitment_billion_individuals_ilyin2016,Fishing_mortality_F_1_per_year_ilyin2016,SST_anom_degC,Ice_max_Okhotsk_1e4km2_JMA,AO_DJFM,PDO_DJFM,OI_june,OI_july,OI_aug,OI_JJA
1963,3.36250319284802,2.209708969465648,1067.183092356688,,,,,8.686131386861314,,0.2114285714285714,,-1.25475,0.0375,1010.77352941176,1008.36470588235,1011.89117647059,1010.3431372549
1964,3.856567442774339,2.47582697201018,975.4481560509556,,,,,9.452554744525548,,-0.0742857142857142,,-0.4815,-0.0915,1010.67352941176,1008.29705882353,1008.75294117647,1009.2411764705867
1965,4.146772767462423,2.658282768969793,978.5059872611464,,,,,10.21897810218978,,-0.1085714285714285,,-1.07025,-0.57125,1006.92352941176,1009.34117647059,1007.49117647059,1007.9186274509799
1966,4.444101332418367,2.896434243557562,926.5228566878982,,,,,9.58029197080292,,-0.5085714285714287,,-1.3545,-0.42225,1012.78529411765,1006.69411764706,1010.17941176471,1009.8862745098068
1967,4.747126436781609,3.139312977099237,984.6216496815288,,,,,12.262773722627738,,-0.5657142857142858,,0.2925,-0.3865,1010.16176470588,1008.16176470588,1007.17058823529,1008.4980392156834
1968,4.82478412535026,3.163318601848135,978.5059872611464,,,,,12.007299270072993,,-0.24,,-0.2922499999999999,-0.37575,1012.25,1006.97647058824,1010.92941176471,1010.0519607843166
1969,5.068965517241379,3.262419260129184,929.5806878980892,,,,,14.562043795620438,,-0.2971428571428571,,-2.1115,-0.6665000000000001,1008.88529411765,1009.92647058824,1011.41764705882,1010.0764705882366
1970,5.270114942528736,3.353053435114504,1009.084299363057,,,,,12.518248175182482,0.7844827586206895,-0.4000000000000001,,-1.91925,1.13775,1010.40588235294,1009.56764705882,1010.03235294118,1010.0019607843133
1971,5.471264367816092,3.462763719420571,990.7373121019108,,,,,13.284671532846716,0.7868965517241379,-0.0285714285714286,116.82,-0.64375,-1.167,1007.63823529412,1009.94411764706,1012.63823529412,1010.0735294117667
1972,5.651079763148728,3.59351145038168,978.5059872611464,,,,,12.007299270072993,0.7868965517241379,-0.1257142857142856,130.63,0.1634999999999999,-1.699,1008.64117647059,1010.28235294118,1006.77647058824,1008.5666666666699
1973,5.626451405340587,3.702162849872772,1030.489117834395,,,,,9.963503649635037,0.7868965517241379,-0.04,131.6,0.94825,-0.4325,1011.63235294118,1011.31176470588,1008.41764705882,1010.4539215686267
1974,5.101348091386406,3.214888165269846,999.910805732484,,,,,9.452554744525548,0.16413793103448274,0.2914285714285713,118.29,-0.296,-0.897,1013.70882352941,1011.49705882353,1007.25,1010.81862745098
1975,5.256704980842912,3.503562340966924,1006.026468152866,,,,,10.72992700729927,0.13999999999999999,0.3314285714285714,120.33,0.624,-0.4889999999999999,1011.34705882353,1008.00882352941,1006.78235294118,1008.71274509804
1976,5.111877394636016,3.232121333869022,1015.199961783439,,,,,13.795620437956204,0.1206896551724138,-0.0628571428571429,120.3,0.89175,-1.0485,1011.35882352941,1007.42647058824,1008.98235294118,1009.2558823529433
1977,5.114599416709555,2.92767295597484,984.6216496815288,,,,,17.88321167883212,0.06275862068965517,-0.1714285714285714,132.77,-1.87675,1.12475,1010.77941176471,1008.89705882353,1008.40588235294,1009.3607843137266
1978,5.86015325670498,3.147113069317076,981.5638184713376,,,,,22.73722627737226,0.07241379310344827,-0.08,152.25,-0.77475,0.8474999999999999,1005.48235294118,1006.62941176471,1006.42941176471,1006.1803921568667
1979,6.855172413793104,3.428145963451305,1030.489117834395,,,,,28.357664233576642,0.07241379310344827,-0.0571428571428571,145.3,-1.181,-0.401,1008.00882352941,1008.78235294118,1004.55588235294,1007.11568627451
1980,7.701069045896633,3.681925472077141,966.2746624203822,,,,,25.291970802919707,0.019310344827586205,-0.0685714285714285,144.69,-0.7845,0.68425,1008.45588235294,1010.4,1016.10882352941,1011.6549019607833
1981,9.024647973253288,4.899514226231784,975.4481560509556,,,,,18.905109489051096,,0.1942857142857141,127.86,-0.5375,1.26075,1014.28823529412,1010.18529411765,1009.29705882353,1011.2568627451001
1982,9.336291413116973,5.011312425273615,1021.315624203822,,,,,19.16058394160584,,0.8742857142857142,127.34,-0.0127499999999999,0.25675,1007.01176470588,1011.50294117647,1011.08823529412,1009.8676470588233
1983,10.35478423069167,6.149037802258079,972.3903248407644,,,,,17.88321167883212,,0.9485714285714284,137.67,-0.01175,0.8702500000000001,1015.75294117647,1009.81176470588,1010.23235294118,1011.9323529411768
1984,10.70093137712986,6.663423943399739,960.159,,,,,19.416058394160583,,0.7028571428571428,85.81,-0.3995,1.319,1008.72647058824,1009.67352941176,1010.27941176471,1009.55980392157
1985,11.67487276262366,8.215648854961833,1006.026468152866,,,,,21.715328467153284,,0.4228571428571428,122.52,-0.81225,0.45725,1012.16764705882,1008.72058823529,1011.33529411765,1010.7411764705867
1986,11.41187739463602,7.975190839694657,975.4481560509556,,,,,24.525547445255476,0.004827586206896551,0.1199999999999998,125.06,-0.87225,1.27275,1011.55882352941,1012.17941176471,1009.65882352941,1011.1323529411766
1987,11.07986834323331,7.53856118436271,993.7951433121018,,,,,19.16058394160584,0.03862068965517241,-0.0685714285714285,124.25,-1.07675,1.62275,1010.08823529412,1009.73823529412,1012.92058823529,1010.91568627451
1988,10.39779983745501,6.663318601848132,1030.489117834395,,,,,23.503649635036496,0.06275862068965517,-0.1942857142857144,144.05,-0.383,0.62575,1010.25588235294,1014.21764705882,1012.17941176471,1012.2176470588233
1989,10.58830708102739,6.732824427480916,963.216831210191,,,,,26.313868613138684,0.05310344827586207,0.0971428571428572,118.85,2.3985,-0.9025,1014.38823529412,1010.74117647059,1008.21470588235,1011.1147058823532
1990,10.58045977011494,6.663358778625954,969.3324936305734,,,,,29.124087591240876,0.02413793103448276,0.2114285714285714,118.59,1.68725,-0.524,1010.35294117647,1009.07058823529,1007.47941176471,1008.9676470588233
1991,10.74386263658294,6.652671755725191,987.6794808917198,,,,,25.036496350364963,0.02896551724137931,0.5714285714285714,94.24,0.1492499999999999,-1.22375,1009.24117647059,1011.02352941176,1010.94705882353,1010.4039215686266
1992,10.84865900383142,6.583165930092407,932.6385191082804,,,,,17.627737226277375,0.03379310344827586,0.2914285714285713,114.67,1.06725,0.16425,1012.05,1009.54411764706,1011.48823529412,1011.0274509803934
1993,10.76819923371648,6.666030534351145,996.852974522293,,,,,17.755474452554743,0.03379310344827586,0.1942857142857141,120.55,1.5175,0.311,1012.41764705882,1013.59411764706,1011.15882352941,1012.39019607843
1994,10.66091954022989,6.951766533810716,996.852974522293,,,,,14.05109489051095,0.04344827586206896,0.2114285714285714,112.21,0.15675,0.67175,1011.42058823529,1007.94705882353,1008.00294117647,1009.1235294117633
1995,10.69480492728546,7.124354512797486,932.6385191082804,,,,,13.02919708029197,0.04344827586206896,0.2628571428571428,103.3,0.6405000000000001,-0.5645,1012.05588235294,1007.19117647059,1010.46176470588,1009.90294117647
1996,10.39272030651341,7.675832755031227,978.5059872611464,,,,,16.094890510948904,0.03862068965517241,0.3771428571428571,104.52,-1.16175,0.731,1010.96176470588,1009.69411764706,1010.87647058824,1010.5107843137266
